version,threads,N,iters,time_s,rel_res,err
serial,1,25000,41,25.018,7.538e-06,7.538e-06
v1,1,25000,41,38.958,7.538e-06,7.538e-06
v1,2,25000,41,22.154,7.538e-06,7.538e-06
v1,4,25000,41,10.869,7.538e-06,7.538e-06
v1,7,25000,41,6.310,7.538e-06,7.538e-06
v1,8,25000,41,5.474,7.538e-06,7.538e-06
v1,16,25000,41,2.711,7.538e-06,7.538e-06
v1,20,25000,41,2.196,7.538e-06,7.538e-06
v1,40,25000,41,3.161,7.538e-06,7.538e-06
v2,1,25000,42,38.281,7.538e-06,7.538e-06
v2,2,25000,42,20.490,7.538e-06,7.538e-06
v2,4,25000,42,10.605,7.538e-06,7.538e-06
v2,7,25000,42,6.204,7.538e-06,7.538e-06
v2,8,25000,42,5.430,7.538e-06,7.538e-06
v2,16,25000,42,2.725,7.538e-06,7.538e-06
v2,20,25000,42,2.254,7.538e-06,7.538e-06
v2,40,25000,42,3.148,7.538e-06,7.538e-06
